term	definition	term_links	wikidata_qid
Graphème	Lettres de l'alphabet, lettres étrangères, lettres inconnues	Q2545446	Q2545446
Phonème	Accents, sons, syllabes, voyelles et consonnes, groupes vocaliques et consonantiques, pieds versifiés	Q8183	Q8183
Morphème	Mots, groupes de mots, particules et conjonctions, codes typographiques, ponctuation, étymologie	Q43249	Q43249
Sème	Connotation, polysémie, lexique, vocable, antonymie, synonymie, champs sémantiques	Q1484137	Q1484137
isocolie	[Stylistique] Répétition d'une cadence sur plusieurs segments de phrase	Q3155487	Q3155487
tétramètres	« Quatre bœufs attelés , d'un pas tranquille et lent, Promenaient dans Paris le monarque indolent » — Boileau , Le Lutrin	Q211689	Q211689
assonance	[Stylistique] répétition d'une voyelle sur plusieurs mots d'une même phrase	Q191092	Q191092
Contre-assonance	[Poétique] rimes qui s'accouplent sur un groupe vocalique formé d'un phonème consonantique identique et d'une voyelle tonique variable	Q2995862	Q2995862
écho	[Poétique: vers-écho] répétition d’une rime sur le vers suivant qui est formé d’un seul mot homophone	Q3577484	Q3577484
homéotéleute	[Stylistique] Répétition d'un groupe phonique dans une même phrase	Q932406	Q932406
hémistiche	« J'aime le son du c or , le soir, au fond des bois, Soit qu'il chante les pl eur s de la biche aux abois, Ou l'adieu du chass eur que l'écho faible accueille, Et que le vent du n or d p or te de feuille en feuille. » — Vigny , Poèmes antiques et modernes , Le Cor , I	Q2355579	Q2355579
onomatopée	Catégorie d'interjection émise pour simuler un bruit particulier associé à un être, un animal ou un objet, par l'imitation des sons que ceux-ci produisent. Il ne s’agit pas à proprement parler d’une figure excepté lorsqu’elle est consciemment formée, au contraire de l’onomatopée héritée par la communauté linguistique	Q170239	Q170239
paréchèse	Rapprochement excessif de syllabes identiques dans des mots successifs	Q3367116	Q3367116
prosonomasie	[Stylistique] répétition dans une phrase ou une formule de deux groupes de mots à la sonorité similaire	Q2972210	Q2972210
anaphore	Répétition au début de plusieurs membres de phrase ou de plusieurs vers, d'un mot ou d'un groupe de mots	Q486050	Q486050
annomination	[Stylistique] synonyme de paronomase (latin adnominatio , traduction du grec paronomase )	Q2851750	Q2851750
antanaclase	Répétition, dans une même phrase, d'un mot employé chaque fois avec une acception différente	Q2463842	Q2463842
concaténation	Désigne la disposition dans un même texte de plusieurs anadiploses successives, à la manière des maillons d'une chaîne.	Q126002	Q126002
conglobation	Répétition rhétorique d'arguments semblables qui vise à prouver une argumentation ou à justifier une idée qui n'est exposée qu'à la fin du discours ; proche de l' accumulation	Q2992980	Q2992980
