term	definition	term_links	wikidata_qid
alegoria		Q18535	Q18535
aliteracja		Q484495	Q484495
aluzja literacka			
amplifikacja			
anafora			
anakolut			
animalizacja			
animizacja		Q9154787	Q9154787
antonim			
antropomorfizacja			
antyteza		Q487994	Q487994
apostrofa			
apozycja			
archaizm		Q181970	Q181970
asyndeton			
dialektyzacja			
dźwiękonaśladownictwo			
echolalia			
elipsa		Q189743	Q189743
emfaza			
enumeracja			
epifora			
epitet			
epitet barokowy			
epitet metaforyczny			
epitet stały			
epitet tautologiczny			
eufemizm			
eufonia		Q733671	Q733671
glosolalia			
gradacja			
groteska			
hiperbola			
homonimy			
instrumentacja głoskowa		Q16560051	Q16560051
inwersja			
inwokacja			
ironia			
kolokwializm			
kontrast			
lipogram		Q836165	Q836165
metafora			
metonimia			
neologizm		Q130989	Q130989
oksymoron			
onomatopeja			
ożywienie		Q9154787	Q9154787
paradoks		Q483372	Q483372
parafraza			
paralelizm składniowy			
parenteza			
paronomazja			
personifikacja		Q207174	Q207174
peryfraza			
pleonazm			
polisyndeton			
porównanie			
porównanie homeryckie			
powtórzenie			
przenośnia			
przerzutnia		Q203402	Q203402
pytanie retoryczne			
retrospekcja			
rym			
sarkazm			
wykrzyknienie			
zeugma		Q196984	Q196984
rodzaj literacki			
figura retoryczna			
kompozycja otwarta			
