WikiData QID	parent	ML_ID	label
Q34698		ML_POS_ADJECTIVE	adjective
Q134316		ML_POS_ADP	adposition
Q103184	ML_POS_DET	ML_POS_ART	(grammatical) article
Q2865743	ML_POS_ART	ML_POS_ART-DEF	definite article
Q3813849	ML_POS_ART	ML_POS_ART-IND	indefinite article
Q28833099	ML_POS_CONJUNCTION	ML_POS_CONJ-COORD	coordinative conjunction
	ML_POS_CONJUNCTION	ML_POS_CONJ-SUB	subordinative conjunction
Q36484		ML_POS_CONJUNCTION	conjunction
Q34793275		ML_POS_DEMONSTRATIVE-PRONOUN	demonstrative pronoun
Q576271		ML_POS_DET	determiner
Q83034		ML_POS_INTERJ	interjection
Q1401131	ML_POS_NOUN	ML_POS_NOUN	noun
Q147101	ML_POS_NOUN	ML_POS_NOUN-COMMON	common noun
Q55951821	ML_POS_NUMERAL	ML_POS_NUMERAL-ADJECTIVAL	adjectival numeral, numeral adjective
	ML_POS_NUMERAL	ML_POS_NUMERAL-ANALOGICAL	analog numeral
Q1329258	ML_POS_NUMERAL	ML_POS_NUMERAL-CARDINAL	cardinal (numeral)
Q55093533	ML_POS_NUMERAL	ML_POS_NUMERAL-COLLECTIVE	collective (numeral)
Q110063840	ML_POS_NUMERAL	ML_POS_NUMERAL-MULTIPLICATIVE	multiplicative (numeral)
Q116843701	ML_POS_NUMERAL	ML_POS_NUMERAL-NOMINAL	nominal (numeral)
Q923933	ML_POS_NUMERAL	ML_POS_NUMERAL-ORDINAL	ordinal (numeral)
Q115526488	ML_POS_NUMERAL	ML_POS_NUMERAL-SINGULATIVE	singulative (numeral)
Q468801		ML_POS_PERSONAL-PRONOUN	personal pronoun
Q1502460		ML_POS_POSSESSIVE-PRONOUN	possessive pronoun
Q4833830		ML_POS_PREPOSITION	preposition
Q36224		ML_POS_PRONOUN	pronoun
Q147276	ML_POS_NOUN	ML_POS_PROPER-NOUN	proper noun
Q7884789	ML_POS_PROPER-NOUN	ML_POS_PROPER-NOUN-TOPONYM	toponym
Q184943		ML_POS_PTCL	particle
Q82622	ML_RHETORIC_SYMBOL	ML_POS_PUNCT	punctuation mark
Q1050744		ML_POS_RELATIVE-PRONOUN	relative pronoun
Q163750	ML_POS_VERB	ML_POS_V-AUX	auxiliary (verb)
Q814722	ML_POS_VERB	ML_POS_V-PTCP	participle
		ML_POS_VRAGEND-VOORNAAMWOORD	vragend voornaamwoord
Q781194		ML_POS_X	other / unclassified
Q128234		ML_MORPH-FEATURE_CASE	(grammatical) case
Q162378		ML_MORPH-FEATURE_GENDER	(grammatical) gender
		ML_MORPH-FEATURE_INTRANSITIEF	intransitief
Q104083		ML_MORPH-FEATURE_NUMBER	(grammatical) number
		ML_MORPH-FEATURE_ONVOLTOOID-TEGENWOORDIGE-TIJD	onvoltooid tegenwoordige tijd
		ML_MORPH-FEATURE_ONVOLTOOID-VERLEDEN-TIJD	onvoltooid verleden tijd
Q690940		ML_MORPH-FEATURE_PERSON	(grammatical) person
		ML_MORPH-FEATURE_TRANSITIEF	transitief
		ML_MORPH-FEATURE_TRANSITIVITY-AMBITRANSITIVE	ambitransitive verb
		ML_MORPH-FEATURE_VOLTOOID-DEELWOORD	voltooid deelwoord
Q156986		ML_MORPH-VALUE_CASE-ABLATIVE	ablative (case)
		ML_MORPH-VALUE_CASE-ABSOLUTIVE	absolutive case
Q146078		ML_MORPH-VALUE_CASE-ACCUSATIVE	accusative (case)
Q145599		ML_MORPH-VALUE_CASE-DATIVE	dative (case)
Q146233		ML_MORPH-VALUE_CASE-GENITIVE	genitive (case)
Q131105		ML_MORPH-VALUE_CASE-NOMINATIVE	nominative (case)
Q185077		ML_MORPH-VALUE_CASE-VOCATIVE	vocative (case)
		ML_MORPH-VALUE_DATIEF	datief
Q14169499	ML_POS_ADJECTIVE	ML_MORPH-VALUE_DEGREE-COMPARATIVE	comparative (degree)
Q1817208	ML_POS_ADJECTIVE	ML_MORPH-VALUE_DEGREE-SUPERLATIVE	superlative (degree)
Q110022		ML_MORPH-VALUE_DUAL	dual
Q501405		ML_MORPH-VALUE_FUTURE	future tense
Q1775415		ML_MORPH-VALUE_GENDER-FEMININE	feminine
Q499327		ML_MORPH-VALUE_GENDER-MASCULINE	masculine
Q1775461		ML_MORPH-VALUE_GENDER-NEUTER	neuter
		ML_MORPH-VALUE_MOOD-ADMIRATIVE	admirative
Q625581		ML_MORPH-VALUE_MOOD-CONDITIONAL	conditional
Q22716		ML_MORPH-VALUE_MOOD-IMPERATIVE	imperative
Q682111		ML_MORPH-VALUE_MOOD-INDICATIVE	indicative
Q473746		ML_MORPH-VALUE_MOOD-SUBJUNCTIVE	subjunctive
		ML_MORPH-VALUE_NOUN-STATE-ANNEXED	annexed state
Q146786		ML_MORPH-VALUE_NUMBER-PLURAL	plural
Q110786		ML_MORPH-VALUE_NUMBER-SINGULAR	singular
		ML_MORPH-VALUE_ONZIJDIG	onzijdig
Q1994301		ML_MORPH-VALUE_PAST	past tense
		ML_MORPH-VALUE_PERSON-FIRST	1st person
		ML_MORPH-VALUE_PERSON-SECOND	2nd person
		ML_MORPH-VALUE_PERSON-THIRD	3rd person
Q192613		ML_MORPH-VALUE_PRESENT	present tense
