WikiData QID	parent	ML_ID	label
Q128234		ML_MORPH-FEATURE_CASE	(grammatical) case
Q162378		ML_MORPH-FEATURE_GENDER	(grammatical) gender
		ML_MORPH-FEATURE_INTRANSITIEF	intransitief
Q104083		ML_MORPH-FEATURE_NUMBER	(grammatical) number
		ML_MORPH-FEATURE_ONVOLTOOID-TEGENWOORDIGE-TIJD	onvoltooid tegenwoordige tijd
		ML_MORPH-FEATURE_ONVOLTOOID-VERLEDEN-TIJD	onvoltooid verleden tijd
Q690940		ML_MORPH-FEATURE_PERSON	(grammatical) person
		ML_MORPH-FEATURE_TRANSITIEF	transitief
		ML_MORPH-FEATURE_TRANSITIVITY-AMBITRANSITIVE	ambitransitive verb
		ML_MORPH-FEATURE_VOLTOOID-DEELWOORD	voltooid deelwoord
