term	definition	term_links	wikidata_qid
Adammeg			
Ampukad			
Anadiplozenn		Q483690	Q483690
Anaforenn		Q65319764	Q65319764
Antimeria			
Arsav			
Arunderc’had			
Damarresoniezh			
Damveneg			
Daspugnadur			
Diac’hinad			
Dic'harvad			
Distoniezh			
Dre eilpenn ster			
Dremmegañ			
Emdourtad			
Emskoevañ			
Epanadiplozenn			
Epanalepsenn			
Erloezad			
Ezrevelladur			
Ginadur			
Goudaolad			
Gourzhanvad			
Gourzhdod			
Gourzhebiezh			
Gourleizhad			
Gourzaolad			
Gweltre			
Hendiatris			
Ironiezh			
Kengan			
Kenganez			
Kensturded			
Keñveriadur			
Kevelc'heriad		Q255189	Q255189
Ledantalad			
Ledanvad			
Nebantiz			
Parabolenn			
Personadur			
Relavar			
Stagennad			
Trerezad			
Troadell			
ISBN 9782381900049			
KIS-359 - Gl.figures, tropes, métaboles, Lavar 09, pp. 75-122, Preder, 1996.			
Lunienn stil			
Retorik			
Steroniezh			
Stilouriezh			
Trozenn			
Yezhadur		Q8091	Q8091
↑Penngerioù gallek a gaver er geriadur-mañ.			
