term	definition	term_links	wikidata_qid
Acumulare	exagerarea și sumarizarea punctelor sau insinuărilor anterioare prin laude excesive sau acuzații. exemplu:"A subliniat o serie întreagă de greșeli, evidențiind fiecare detaliu în parte."		
Acțiune	canonul #5 în lista canoanelor retorice a lui Cicero; legat tradițional de retorica orală, referindu-se la modul în care este prezentat un discurs (inclusiv tonul vocii și gesturile nonverbale, printre altele). exemplu:"Prezentarea sa a inclus gesturi expresive și variate în ton."		
Aliterație	folosirea unei serii de două sau mai multe cuvinte care încep cu aceeași literă. exemplu: "În grădina verde, gingașele ghiocei gângureau."		
Anecdotă	o narativă scurtă care descrie un eveniment interesant sau amuzant.		
Antiteză	juxtapunerea ideilor contrastante în cuvinte, fraze sau structuri gramaticale echilibrate sau paralele.	Q487994	Q487994
Aporie	o declarație de îndoială, făcută în scop retoric și adesea simulată.		
Apostrof	o figură de stil constând într-o întoarcere bruscă a textului către o adresă exclamativă către o persoană imaginară sau un lucru.		
Argumentum ad baculum	soluționarea unei probleme prin apel la forță.		
Asonanță	cuvinte care repetă același sunet vocal.	Q191092	Q191092
Axiome	punctul de plecare al raționamentului științific; principii care nu sunt puse sub semnul întrebării.		
Barbarism	folosirea unui cuvânt, expresie sau pronunție non-standard într-o limbă, în special unul considerat greșit din punct de vedere prescriptiv în morfologie.		
Canon	un termen utilizat pentru a discuta operele literare semnificative sau standardele într-un anumit domeniu, cum ar fi "canonul literaturii române".		
Captatio benevolentiae	orice dispozitiv literar sau oral care încearcă să câștige bunăvoința ascultătorului sau cititorului la începutul unei discuții sau lucrări.		
Carismă	atributul unei persoane care permite cuvintelor sau acțiunilor sale să fie puternic influențatoare și captivante pentru alții.		
Clasicism	o mișcare sau o perioadă de reînviere a interesului pentru valorile, stilurile și formele artistice ale antichității clasice.	Q170292	Q170292
Dialectică	un termen definit diferit de Aristotel și Petrus Ramus, printre alții; în general, înseamnă utilizarea comunicării verbale pentru a ajunge la un acord asupra unui subiect.		
Dispoziție	etapa de planificare a structurii și secvenței ideilor; adesea denumită aranjament, a doua dintre cele cinci canoane retorice ale lui Cicero.		
Disfemism	un termen cu conotații negative pentru ceva în realitate destul de inofensiv sau inofensiv.		
Elocvență	vorbire fluentă, elegantă, persuasivă și energică, care își propune să convingă o audiență.		
Elipsă	suprimarea cuvintelor auxiliare pentru a da expresiei o vivacitate sau o forță mai mare.	Q40112	Q40112
Epistemologie	studiul filosofic orientat spre înțelegerea modului în care oamenii dobândesc cunoștințe.		
Epitet	un termen utilizat ca înlocuitor descriptiv și calificativ pentru numele unei persoane, locuri sau lucruri.		
Epizeuxis	figură de stil care constă în repetarea imediată a unui cuvânt sau a unei expresii, fără alte cuvinte intercalate între ele. exemplu: "Ridică-te! Ridică-te și luptă pentru visul tău!"		
Ethos	o apel retoric la o audiență bazată pe credibilitatea vorbitorului/scrisului.		
Eufemism	un termen sau o expresie inofensivă, circumlocutorie sau circumstanțială pentru ceva neplăcut sau obscen.	Q83464	Q83464
Fabulă	o poveste scurtă alegorică.		
Hermeneutică	fundamentele teoretice ale interpretării textelor, de obicei religioase sau literare.		
Ideologie	un mod de a înțelege mediul extern al unei persoane.		
Ignoratio elenchi	o concluzie care este irelevantă.	Q737677	Q737677
Ironie	un contrast deliberat între sensul indirect și cel direct pentru a atrage atenția asupra opusului.		
Jargon	limbaj foarte tehnic folosit de un anumit grup.		
Kairos	"sincronizare" sau "circumstanțele potrivite".	Q845756	Q845756
Logos	apeluri retorice bazate pe logică sau raționament.		
Meioză	o figură de stil eufemistică ce subestimează intenționat ceva sau implică faptul că este mai puțin semnificativ sau important decât este în realitate.		
Memorie	descrisă de Cicero ca "prinderea fermă în minte a materiei și cuvintelor," al patrulea dintre cele cinci canoane retorice ale sale.	Q492	Q492
Metaforă	o figură de stil în care un cuvânt care se aplică în mod normal unui lucru este folosit pentru a desemna altceva, pentru a crea o imagine mentală.		
Metonimie	o figură de stil care înlocuiește un cuvânt sau o frază cu altul cu care este strâns asociat.		
Narațiune	povestirea, implicând elementele timpului, locului, actorului, acțiunii, cauzei și modului.		
Non sequitur	o afirmație care nu are nicio legătură cu contextul precedent.		
Onomatopee	cuvinte care imită sunetele, obiectele sau acțiunile la care se referă, de exemplu "zumzet", "văicăreli", "țârâit".	Q170239	Q170239
Omiletică	aplicarea principiilor generale ale retoricii la arta specifică a predicării publice.		
Orator	un vorbitor public, mai ales unul care este elocvent sau priceput.		
Panegiric	un discurs public formal, rostit pentru a lăuda pe cineva sau ceva.		
Paradox	o afirmație aparent absurdă sau auto-contradictorie.		
Paralelism	corespondentă, în sens sau construcție, a clauzelor sau pasajelor succesive.		
Paranteză	un cuvânt, clauză sau propoziție explicativă sau calificativă inserată într-un pasaj, care nu este esențială pentru sensul literal.	Q174565	Q174565
Parodie	imitație comică a ceva sau a cuiva.		
Personificare	o figură de stil care atribuie caracteristici umane obiectelor neînsuflețite sau reprezintă o persoană absentă ca fiind prezentă.		
Phronesis	înțelepciune practică; bun simț.		
Pleonasm	utilizarea mai multor cuvinte decât sunt necesare pentru a exprima o idee.		
Polisemie	capacitatea unui cuvânt sau a unei fraze de a avea mai multe înțelesuri.		
Postmodernism	un domeniu de cercetare preocupat de fundamentele ideologice ale presupunerilor comune.	Q47783	Q47783
Pragmatism	abordare bazată pe considerații practice și percepția imediată, excluzând argumentele morale și etice.		
Retorica	studiul și practica exprimării eficiente; de asemenea, un tip de discurs, concentrat pe obiectivele unui discurs sau a unui text care încearcă să influențeze mintea publicului.		
Semantica	studiul filozofic al limbajului care se ocupă cu legătura sa cu percepțiile realității.		
Similitudine	o figură de stil care compară lucruri diferite, implicând o asemănare între ele, de exemplu, „A intrat în luptă cu trupul ca cel mai puternic taur, în fervoare ca cel mai feroce leu.” (Rhetorica ad Herennium)		
Spin	actul de a concura pentru a insufla un sens în punctele de agendă pentru publicuri alese.	Q229949	Q229949
Spoonerism	schimbarea deliberată sau involuntară a sunetelor sau morfemelor între două cuvinte dintr-o frază, creând un nou sens.		
Simbol	o reprezentare vizuală sau metaforică a unei idei sau concepte.		
Tautologie	repetarea aceleași idei cu cuvinte diferite.	Q841606	Q841606
Tehnică	o adevărată artă.		
Trivium	gramatică, retorică și logică, învățate în școlile din perioada medievală.		
