term	definition	term_links
abessiv	mluvnický [pád](#pád) vyjadřující nepřítomnost nebo nedostatek něčeho, někoho; v češtině není; viz [Wikipedie](https://cs.wikipedia.org/wiki/Abessiv)	https://cs.wiktionary.org/wiki/abessiv?action=edit&redlink=1
ablativ	mluvnický [pád](#pád), kterým se vyjadřuje zejména odluka, popř. povrchové východisko pohybu či děje; v češtině není; viz [Wikipedie](https://cs.wikipedia.org/wiki/Ablativ)	https://cs.wiktionary.org/wiki/ablativ
abreviace	(a) zkracování [slov](#slovo) nebo kombinací ve [zkratky](#zkratka) / (b) viz [abreviatura](#abreviatura)	https://cs.wiktionary.org/wiki/abreviace
abreviatura	[zkratka](#zkratka) [slova](#slovo) nebo kombinace [slov](#slovo) neslovní povahy; viz [Wikipedie](https://cs.wikipedia.org/wiki/Abreviatura)	https://cs.wiktionary.org/wiki/abreviatura
adagium	viz [přísloví](#přísloví)	https://cs.wiktionary.org/wiki/adagium?action=edit&redlink=1
adessiv	mluvnický [pád](#pád) vyjadřující statické umístění na povrchu; v češtině není; viz [Wikipedie](https://cs.wikipedia.org/wiki/Adessiv)	https://cs.wiktionary.org/wiki/adessiv?action=edit&redlink=1
adjektivum(téžpřídavné jméno)	[slovní druh](#slovní_druh) vyjadřující především kvalitu, vlastnosti (substanci), popř. vztahy (jako vlastnictví, přináležitost), ve větě zejména jako [atribut](#atribut) [substantiva](#substantivum); viz [Wikipedie](https://cs.wikipedia.org/wiki/Přídavné%20jméno)	https://cs.wiktionary.org/wiki/adjektivum, https://cs.wiktionary.org/wiki/přídavné_jméno
adverbiale	viz [příslovečné určení](#příslovečné_určení)	https://cs.wiktionary.org/wiki/adverbiale?action=edit&redlink=1
adverbium	viz [příslovce](#příslovce)	https://cs.wiktionary.org/wiki/adverbium
afereze(téžproziopeze)	redukce počáteční [hlásky](#hláska) nebo [slabiky](#slabika) [slova](#slovo)	https://cs.wiktionary.org/wiki/afereze?action=edit&redlink=1, https://cs.wiktionary.org/wiki/proziopeze?action=edit&redlink=1
afix	jednotlivý [morfém](#morfém) (s [gramatickou](#gramatika), funkční nebo [slovotvornou](#slovotvorba) povahou), který se připojuje ke slovu zpředu, zezadu nebo zevnitř; viz [Wikipedie](https://cs.wikipedia.org/wiki/Afix)	https://cs.wiktionary.org/wiki/afix
afixace	tvoření (utvoření) [slov](#slovo) odvozováním pomocí [afixů](#afix)	https://cs.wiktionary.org/wiki/afixace?action=edit&redlink=1
agens	(skutečný, reálný) původce děje; v [aktivní](#aktivum) větě často shodný se [subjektem](#subjekt)	https://cs.wiktionary.org/wiki/agens?action=edit&redlink=1
aglutinace	typ [morfologické operace](#morfologická_operace) spočívající v prostém (mechanickém) připojení ([gramatických](#gramatika)) [morfémů](#morfém) v řadě za sebou, obvykle více najednou	https://cs.wiktionary.org/wiki/aglutinace?action=edit&redlink=1
akcent	(a) viz [slovní](#slovo) [přízvuk](#přízvuk) / (b) (volně) [příznakový](#příznak) způsob [výslovnosti](#výslovnost) cizince, případně [nářečního](#nářečí) mluvčího	https://cs.wiktionary.org/wiki/akcent
aktivum(téžslovesný rod činný)	základní [slovesný rod](#rod_slovesný) vyjadřující to, že [subjekt](#subjekt) je [agentem](#agens) (původcem děje); viz [Wikipedie](https://cs.wikipedia.org/wiki/Činný%20rod)	https://cs.wiktionary.org/wiki/aktivum, https://cs.wiktionary.org/wiki/slovesný_rod_činný?action=edit&redlink=1
akuzativ	mluvnický pád, kterým se vyjadřuje zejména přímý objekt, dále též i cíle pohybu; v češtině 4. pád; viz [Wikipedie](https://cs.wikipedia.org/wiki/Akuzativ)	https://cs.wiktionary.org/wiki/akuzativ
aletnonymum	[etnonymum](#etnonymum), které kmen nebo národ dostal od sousedů (např. [_Němci_](https://cs.wiktionary.org/wiki/Němci))	https://cs.wiktionary.org/wiki/aletnonymum?action=edit&redlink=1
allativ	mluvnický [pád](#pád) vyjadřující povrchový cíl děje; v češtině není; viz [Wikipedie](https://cs.wikipedia.org/wiki/Allativ)	https://cs.wiktionary.org/wiki/allativ?action=edit&redlink=1
anaptyxe	druh [epenteze](#epenteze), vkládání [hlásky](#hláska) do vnitřku [slova](#slovo) pro ulehčení výslovnosti obtížně artikulovaných shluků; např. [sedum](https://cs.wiktionary.org/wiki/sedum) nebo [idea](https://cs.wiktionary.org/wiki/idea) — [ideje](https://cs.wiktionary.org/wiki/ideje?action=edit&redlink=1)	https://cs.wiktionary.org/wiki/anaptyxe?action=edit&redlink=1
animatum(téžrod mužskýživotný)	jeden ze [jmenných rodů](#rod_jmenný) patřící pod [maskulina](#maskulinum) (zejm. ve slovanských [jazycích](#jazyk))	https://cs.wiktionary.org/wiki/animatum?action=edit&redlink=1, https://cs.wiktionary.org/wiki/rod_mužský?action=edit&redlink=1, https://cs.wiktionary.org/wiki/životný
antonymum(téžopozitum,slovo protikladné)	[slovo](#slovo) nebo výraz pojmenovávající [denotát](#denotát) mající opačný význam než [denotát](#denotát) výchozí; rozlišují se _vlastní antonyma_ (významové jednotky mající opačný význam, aniž by se vzájemně podmiňovaly, např. _rychlý_ : _pomalý_), _komplementární_ (opačné významové jednotky se nutně podmiňují nebo doplňují, např. _muž_ : _žena_) a _konverzní_ (jedna významová jednotka představuje sémantický obrat druhé, např. _koupit_ : _prodat_); viz [Wikipedie](https://cs.wikipedia.org/wiki/Antonymum)	https://cs.wiktionary.org/wiki/antonymum, https://cs.wiktionary.org/wiki/opozitum, https://cs.wiktionary.org/wiki/slovo_protikladné?action=edit&redlink=1
antroponymum	[vlastní jméno](#vlastní_jméno) jednotlivého člověka (vlastní jméno osobní) nebo skupiny lidí (skupinové antroponymum); viz [Wikipedie](https://cs.wikipedia.org/wiki/Osobní%20jméno)	https://cs.wiktionary.org/wiki/antroponymum?action=edit&redlink=1
aorist		https://cs.wiktionary.org/wiki/aorist?action=edit&redlink=1
apelativum(téžobecnéjméno)	[jméno](#jméno), které neoznačuje individuální [denotát](#denotát), tedy které není [propriem](#proprium); viz [Wikipedie](https://cs.wikipedia.org/wiki/Apelativum)	https://cs.wiktionary.org/wiki/apelativum, https://cs.wiktionary.org/wiki/obecný, https://cs.wiktionary.org/wiki/jméno
argot		https://cs.wiktionary.org/wiki/argot
atribut		https://cs.wiktionary.org/wiki/atribut
augmentativum(téžslovo zveličelé)	[slovo](#slovo) se zveličelým významem nebo s hrubším významem ve srovnání s neutrálním slovem příbuzným; opakem je [diminutivum](#diminutivum); viz [Wikipedie](https://cs.wikipedia.org/wiki/Augmentativum)	https://cs.wiktionary.org/wiki/augmentativum, https://cs.wiktionary.org/wiki/slovo_zveličelé?action=edit&redlink=1
autoetnonymum	[etnonymum](#etnonymum), které si dal kmen nebo národ sám (např. [_Deutsche_](https://cs.wiktionary.org/wiki/Deutsche))	https://cs.wiktionary.org/wiki/autoetnonymum?action=edit&redlink=1
citoslovce(téžinterjekce)	[slovní druh](#slovní_druh) vyjadřující především samostatně hodnotící emoce a intelektuální postoje mluvčího, kontakt s posluchačem či zvířetem (včetně pozdravů a různých kontaktových výrazů) nebo imitují některé zvuky; viz [Wikipedie](https://cs.wikipedia.org/wiki/Citoslovce)	https://cs.wiktionary.org/wiki/citoslovce, https://cs.wiktionary.org/wiki/interjekce
