tag	singular	plural	abbr
	ποιόντα ενέργειας		
pos	τύπος λέξης	τύποι λέξεων	
s	πρόταση	προτάσεις	πρότ.
q	ερώτηση	ερωτήσεις	ερ.
prov	παροιμία	παροιμίες	παρ.
	πολυλεκτικά σύνολα		
phras	φρασεολογισμός	φρασεολογισμοί	
expr	έκφραση	εκφράσεις	έκφρ.
	πτώσεις	πτώση	
Nm		ονομ.	
Vo		κλητ.	
Ge		γεν.	
Da		δοτ.	
Ac		αιτ.	
			
	γένη	γένος	
Ma		αρσ.	
Fe		θηλ.	
Ne		ουδ.	
	αριθμοί		
Sg		εν.	
Pl		πληθ.	
	πρόσωπα		
			
			
			
n	ουσιαστικό	ουσιαστικά	ουσ.
n.gr	ονοματική φράση	ονοματικές φράσεις	
	κοινά ονόματα	κοιν. όν.	
prop.n	κύριο όνομα	κύρια ονόματα	κ.ό.
topo	τοπωνύμιο	τοπωνύμια	
adj	επίθετο	επίθετα	επίθ.
	υποκοριστικά	υποκ.	
	βαθμοί	βαθμ.	
numeral			
Cp	συγκριτικοί βαθμοί	συγκρ.	
Su	υπερθετικοί βαθμοί	υπερθ.	
num	αριθμητικό	αριθμητικά	αριθ.
Cd	απόλυτο αριθμητικό	απόλ.	
Od	τακτικά αριθμητικά	τακτ.	
Ml	πολλαπλασιαστικά		
			
No	μοναδιαία		
Ct	περιληπτικά	περιλ.	
Aj	επιθετικά	επιθ.	
No	ουσιαστικά		
Ad	επιρρηματικό		
v	ρήμα	ρήματα	ρ.
	εγκλίσεις	έγκλ.	
Nf	απαρέμφατο	απαρ.	
Id	οριστική	οριστ.	
Mp		προστ.	
Sj		υποτ.	
	υποθετικές	υποθ.	
	χρόνοι	χρόν.	
Pr	ενεστώτας		
Pa			
Ip		παρατ.	
Pe			
Fu			
	κλίσεις	κλίση	
	συζυγίες	συζ.	
St	συζυγίες Α'		
We	συζυγίες Β'		
	φωνές	φωνή	
Av	ενεργητική	ενεργ.	
Pv	παθητική	παθ.	
Is	απρόσωπο		
first person			
Vb	βοηθητικά ρήματα	βοηθ. ρ.	
	συνδετικά ρήματα		
v.gr	ρηματική φράση	ρηματικές φράσεις	
Pp	μετοχές	μτχ.	
adv	επίρρημα	επιρρήματα	επίρρ.
adv.gr	επιρρηματική φράση	επιρρηματικές φράσεις	
	πολλαπλασιαστικά επιρρήματα		
As	προθέσεις		
prep	πρόθεση	προθέσεις	πρόθ.
	οπισθοθετικά		
			
conjunction			
conj	σύνδεσμος	σύνδεσμοι	σύνδ.
Co	συμπλεκτικοί σύνδεσμοι	συμπλ. σύνδ.	
Sb	υποτακτικοί σύνδεσμοι	υποτ.	
	καθοριστικοί προσδιοριστές	καθ. προσδ.	
interr	ερωτηματική λέξη	ερωτηματικές λέξεις	ερ. λέξη
At	άρθρα	άρθρ.	
Df	οριστικά άρθρα	ορισ. άρθρ.	
Id	αόριστα άρθρα	αόρ. άρθρ.	
pron	αντωνυμία	αντωνυμίες	αντων.
Ir	ερωτηματικές αντωνυμίες	ερ. αντων.	
Pe	προσωπικές αντωνυμίες	προσ. αντων.	
Po	κτητικές αντωνυμίες	κτητ. αντων.	
Dm	δεικτικές αντωνυμίες	δεικτ. αντων.	
Re	αναφορικές αντωνυμίες	αναφ. αντων.	
Pn	αυτοπαθείς αντωνυμίες	αυτοπ. αντων.	
Id	αόριστες αντωνυμίες	αόρ. αντων.	
Ri	αόριστες αναφορικές αντωνυμίες	αόρ. αναφ. αντων.	
interj	επιφώνημα	επιφωνήματα	επιφ.
ptcl	μόριο	μόρια	μόρ.
PART			
PART			
PART			
morpheme			
morph	μορφή	μορφές;	
abbr	συντομογραφία	συντομογραφίες	συντμ.
			
ΙΝΙΤ	αρχικά		
ACRO			
foreign word			
Fw	ξένες λέξεις		
	δάνεια		
Tr	μεταγραφές		
Sy	σύμβολα		
DIG	ψηφία		
PUNCT	σημεία στίξης		
P_TERM_P	τελικά σημεία στίξης		
O_PUNCT	σημεία έναρξης		
C_PUNCT	σημεία λήξης		
ENUM	αριθμήσεις		
DATE	ημερομηνίες		
Xx			
