tag	singular	plural	abbr
pos	τύπος λέξης	τύποι λέξεων	
s	πρόταση	προτάσεις	πρότ.
q	ερώτηση	ερωτήσεις	ερ.
prov	παροιμία	παροιμίες	παρ.
MWE	πολυλεκτικό σύνολο	πολυλεκτικά σύνολα	
phras	φρασεολογισμός	φρασεολογισμοί	
expr	έκφραση	εκφράσεις	έκφρ.
cas	πτώση	πτώσεις	πτώση
nom	ονομαστική		ονομ.
voc	κλητική		κλητ.
gen	γενική		γεν.
dat	δοτική		δοτ.
acc	αιτιατική		αιτ.
abl	αφαιρετική		
gend	γένος	γένη	γένος
♂	αρσενικό		αρσ.
♀	θηλυκό		θηλ.
⚲	ουδέτερο		ουδ.
No	αριθμός	αριθμοί	
sg	ενικός		εν.
pl	πληθυντικός		πληθ.
pers	πρόσωπο	πρόσωπα	
1e.pers		πρώτο πρόσωπο	α'
2e.pers		δεύτερο πρόσωπο	β'
3e.pers		τρίτο πρόσωπο	γ'
n	ουσιαστικό	ουσιαστικά	ουσ.
n.gr	ονοματική φράση	ονοματικές φράσεις	
com.n	κοινό όνομα	κοινά ονόματα	κοιν. όν.
prop.n	κύριο όνομα	κύρια ονόματα	κ.ό.
topo	τοπωνύμιο	τοπωνύμια	
demonym	πατριδωνυμικό	πατριδωνυμικά	πατρ.
adj	επίθετο	επίθετα	επίθ.
dim	υποκοριστικό	υποκοριστικά	υποκ.
adj.comp	συγκριτικός βαθμός	συγκριτικοί βαθμοί	συγκρ.
adj.sup	υπερθετικός βαθμός	υπερθετικοί βαθμοί	υπερθ.
num	αριθμητικό	αριθμητικά	αριθ.
num.card	απόλυτος αριθμός	απόλυτο αριθμητικό	απόλ.
num.ord	τακτικό αριθμητικό	τακτικά αριθμητικά	τακτ.
num.mult		πολλαπλασιαστικά	
num.anal		αναλογικό	
num.sing	μοναδιαίο	μοναδιαία	
num.coll		περιληπτικά	περιλ.
num.adj		επιθετικά	επιθ.
num.nom		ουσιαστικά	
num.adv		επιρρηματικό	
v	ρήμα	ρήματα	ρ.
inf	απαρέμφατο	απαρέμφατο	απαρ.
ind		οριστική	οριστ.
imp	προστακτική		προστ.
subj	υποτακτική		υποτ.
cond	υποθετική	υποθετικές	υποθ.
t	γραμματικός χρόνος	χρόνοι	χρόν.
praes	ενεστώτας	ενεστώτας	
past	συντελεσμένος		
imperf	παρατατικός		παρατ.
perfect	αόριστος		
fut	μέλλοντας		
inflec	κλίση	κλίσεις	κλίση
conjug	συζυγία	συζυγίες	συζ.
act		ενεργητική	ενεργ.
pass		παθητική	παθ.
impers		απρόσωπο	
v.aux	βοηθητικό ρήμα	βοηθητικά ρήματα	βοηθ. ρ.
cop	συνδετικό ρήμα	συνδετικά ρήματα	
v.gr	ρηματική φράση	ρηματικές φράσεις	
v.ptcp	μετοχή	μετοχές	μτχ.
adv	επίρρημα	επιρρήματα	επίρρ.
adv.gr	επιρρηματική φράση	επιρρηματικές φράσεις	
mult.adv	πολλαπλασιαστικό επίρρημα	πολλαπλασιαστικά επιρρήματα	
adp	πρόθεση	προθέσεις	
prep	πρόθεση	προθέσεις	πρόθ.
postp	οπισθοθετικό	οπισθοθετικά	
simp	απλή		
conj	σύνδεσμος	σύνδεσμοι	σύνδ.
conj.coord	συμπλεκτικός σύνδεσμος	συμπλεκτικοί σύνδεσμοι	συμπλ. σύνδ.
conj.sub	υποτακτικός σύνδεσμος	υποτακτικοί σύνδεσμοι	υποτ.
det	καθοριστικός προσδιοριστής	καθοριστικοί προσδιοριστές	καθ. προσδ.
interr	ερωτηματική λέξη	ερωτηματικές λέξεις	ερ. λέξη
art	άρθρο	άρθρα	άρθρ.
art.def	οριστικό άρθρο	οριστικά άρθρα	ορισ. άρθρ.
art.ind	αόριστο άρθρο	αόριστα άρθρα	αόρ. άρθρ.
pron	αντωνυμία	αντωνυμίες	αντων.
pron.int	ερωτηματική αντωνυμία	ερωτηματικές αντωνυμίες	ερ. αντων.
pron.pers	προσωπική αντωνυμία	προσωπικές αντωνυμίες	προσ. αντων.
pron.poss	κτητική αντωνυμία	κτητικές αντωνυμίες	κτητ. αντων.
pron.dem	δεικτική αντωνυμία	δεικτικές αντωνυμίες	δεικτ. αντων.
pron.rel	αναφορική αντωνυμία	αναφορικές αντωνυμίες	αναφ. αντων.
pron.refl	αυτοπαθής αντωνυμία	αυτοπαθείς αντωνυμίες	αυτοπ. αντων.
pron.ind	αόριστη αντωνυμία	αόριστες αντωνυμίες	αόρ. αντων.
pron.rel.ind	αόριστη αναφορική αντωνυμία	αόριστες αναφορικές αντωνυμίες	αόρ. αναφ. αντων.
interj	επιφώνημα	επιφωνήματα	επιφ.
ptcl	μόριο	μόρια	μόρ.
fut.ptcl			
neg.ptcl		αρνητικό μόριο	
sub.ptcl		μόριο υποτακτικής	
morph	μορφή	μορφές	
abbr	συντομογραφία	συντομογραφίες	συντμ.
n.abbr		μη διασπώμενη συντομογραφία	
init	αρχικό	αρχικά	
acro	αρκτικόλεξο		
prest	δάνειο	δάνεια	
translit	μεταγραφή	μεταγραφές	
symb	σύμβολο	σύμβολα	
dig	ψηφίο	ψηφία	
punct	σημείο στίξης	σημεία στίξης	
term.punct	τελικό σημείο στίξης	τελικά σημεία στίξης	
op.punct	σημείο έναρξης	σημεία έναρξης	
cl.punct	σημείο λήξης	σημεία λήξης	
enum	αρίθμηση	αριθμήσεις	
datum	ημερομηνία	ημερομηνίες	
