tag	singular	plural	abbr
pos	part of speech	parts of speech	PoS
s	sentence	sentences	sent.
q	question	questions	q.
prov	proverb	proverbs	prov.
MWE	multi-word expression	multi-word expressions	MWE
phras	phraseme	phrasemes	phr.
expr	expression	expressions	expr.
cas	(grammatical) case	(grammatical) cases	
nom	nominative (case)		nom.
voc	vocative (case)		voc.
gen	genitive (case)		gen.
dat	dative (case)		dat.
acc	accusative (case)		acc.
abl	ablative (case)		
gend	(grammatical) gender		
♂	masculine		
♀	feminine		
⚲	neuter		
No	(grammatical) number	(grammatical) numbers	
sg	singular	singulars	sg.
pl	plural	plurals	pl.
pers	(grammatical) person	(grammatical) persons	
1e.pers	noun		
2e.pers	noun phrase		
3e.pers	common noun		
n	noun	nouns	n.
n.gr	noun phrase	noun phrases	NP
com.n	common noun	common nouns	pn.
prop.n	proper noun	proper nouns	pn.
topo	toponym	toponyms	
demonym	demonym	demonyms	dem.
adj	adjective	adjectives	adj.
dim	diminutive	diminutives	dim.
adj.comp	comparative (degree)	comparatives, comparative degrees	comp.
adj.sup	superlative (degree)	superlatives, superlative degrees	sup.
num	numeral	numerals	num.
num.card	cardinal (numeral)	cardinals, cardinal numerals	
num.ord	ordinal (numeral)	ordinals, ordinal numerals	ord.
num.mult	multiplicative (numeral)	multiplicatives, multiplicative numerals	
num.anal	analog numeral	analog numerals	
num.sing	singulative (numeral)	singulatives, singulative numerals	
num.coll	collective (numeral)	collectives, collective numerals	
num.adj	adjectival numeral, numeral adjective	adjectival numerals, numeral adjectives	
num.nom	nominal (numeral)	nominals, nominal numerals	
num.adv	adverbial numeral	adverbial numerals	
v	verb	verbs	vb.
inf	infinitive	infinitives, infinitive moods	
ind	indicative	indicatives, indicative moods	
imp	imperative	imperatives, imperative moods	
subj	subjunctive	subjunctives, subjunctive moods	
cond	conditional	conditional moods	
t	(grammatical) tense	(grammatical) tenses	
praes	present tense	present tenses	
past	past tense	past tenses	
imperf	imperfective tense	imperfective tenses	
perfect	perfective tense	perfective tenses	
aor	simple past	simple pasts	simp. past
fut	future tense	future tenses	
inflec	(grammatical) inflection	(grammatical) inflections	
conjug	conjugation	conjugations	
act	active (voice)	active voices	
pass	passive (voice)	passive voices	
impers	impersonal passive voice	impersonal passive voices	
v.aux	auxiliary (verb)	auxiliary verbs	aux.
cop	copula, copulative (verb)	copulas	
v.gr	verb phrase	verb phrases	VP
v.ptcp	participle	participles	ptcp.
adv	adverb	adverbs	adv.
adv.gr	adverb phrase	adverb phrases	ADVP
mult.adv	multiplicative adverb	multiplicative adverbs	
adp	adposition	adpositions	adp.
prep	preposition	prepositions	prep.
postp	postpostion	postpostions	
simp	simple		
conj	conjunction	conjunctions	cnj.
conj.coord	coordinative conjunction	coordinative conjunctions	coord.
conj.sub	subordinative conjunction	subordinative conjunctions	subord.
det	determiner	determiners	det.
interr	question word	question words	q. word
art	(grammatical) article	articles	art.
art.def	definite article	definite articles	def. art.
art.ind	indefinite article	indefinite articles	indef. art.
pron	pronoun	pronouns	pro.
pron.int	interrogative pronoun	interrogative pronouns	int. pro.
pron.pers	personal pronoun	personal pronouns	pers.
pron.poss	possessive pronoun	possessive pronouns	poss.
pron.dem	demonstrative pronoun	demonstrative pronouns	dem.
pron.rel	relative pronoun	relative pronouns	rel.
pron.refl	reflexive pronoun	reflexive pronouns	refl.
pron.ind	indefinite pronoun	indefinite pronouns	indef.
pron.rel.ind	relative indefinite pronoun	relative indefinite pronouns	relind.
interj	interjection	interjections	intj.
ptcl	particle	particles	ptcl.
fut.ptcl	future particle	future particles	
neg.ptcl	negative particle	negative particles	
sub.ptcl	subjunctive particle	subjunctive particles	
morph	morpheme	morphemes	
abbr	abbreviation	abbreviations	abbr.
n.abbr	not-breaking abbreviation	not-breaking abbreviations	
init	initials (plural)	initials	
acro	acronym	acronyms	
prest	loanword	loanwords	
translit	transliteration	transliterations	
symb	symbol	symbols	
dig	digit	digits	
punct	punctuation mark	punctuation	
term.punct	terminal punctuation mark	terminal punctuation marks	
op.punct	open punctuation mark	open punctuation marks	
cl.punct	close punctuation mark	close punctuation marks	
enum	enumeration	enumerations	
datum	date	dates	
