tag	singular	plural	abbr
	–		ποιόν ενέργειας
pos	woordsoort	woordsoorten	woords.
s	zin	zinnen	zin
q	vraagzin	vraagzinnen	vraag
prov	spreekwoord	spreekwoorden	spr.
	meerwoordige uitdrukkingen	MWE	πολυλεκτικό σύνολο
phras	fraseem	frasemen	phraseme
expr	uitdrukking	uitdrukkingen	uitdr.
	naamvallen		πτώση
Nm	nominatieven		ονομαστική
Vo	vocatieven		κλητική
Ge	genitieven		γενική
Da	datieven		δοτική
Ac	accusatieven		αιτιατική
	ablatieven		αφαιρετική
	woordgeslachten		γένος
Ma	–		αρσενικό
Fe	–		θηλυκό
Ne	–		ουδέτερο
	–		αριθμός
Sg	enkelvouden		ενικός
Pl	meervouden		πληθυντικός
	(grammaticale) personen		πρόσωπο
		πρώτο πρόσωπο	α'
		δεύτερο πρόσωπο	β'
		τρίτο πρόσωπο	γ'
n	zelfstandig naamwoord	zelfstandige naamwoorden	znw.
n.gr	naamwoordgroep	naamwoordgroepen	znw. groep
	soortnamen	soortn.	κοινό όνομα
prop.n	eigennaam	eigennamen	eigenn.
topo	plaatsnaam	plaatsnamen	plaatsn.
adj	bijvoeglijk naamwoord	bijvoeglijke naamwoorden	bnw.
	verkleinwoorden	dim.	υποκοριστικό
	trappen van vergelijking		βαθμός
numeral		θετ.	
Cp	vergelijkende trappen	comp.	συγκριτικός βαθμός
Su	overtreffende trappen	sup.	υπερθετικός βαθμός
num	telwoord	telwoorden	telw.
Cd	hoofdtelwoorden		απόλυτος αριθμός
Od	rangtelwoorden	rangt.	τακτικό αριθμητικό
Ml	vermenigvuldigingsgetallen		
			αναλογικό
No	singulatieven		μοναδιαίο
Ct	verzameltelwoorden		
Aj	bijvoeglijk telwoorden		
No	zelfstandig telwoorden		
Ad	bijwoordelijk telwoorden		
v	werkwoord	werkwoorden	ww.
	(grammaticale) wijzen		έγκλιση
Nf	infinitieven		απαρέμφατο
Id	indicatieven		
Mp	imperatieven		προστακτική
Sj	conjunctieven		υποτακτική
	conditionales		υποθετική
	tijden van het werkwoord		γραμματικός χρόνος
Pr	tegenwoordige tijden		ενεστώτας
Pa	verleden tijden		συντελεσμένος
Ip	onvoltooid verleden tijden	ovt	παρατατικός
Pe	voltooid verleden tijden	vvt	αόριστος
Fu	toekomstige tijden		μέλλοντας
	verbuigingen		κλίση
	vervoegingen		συζυγία
St	sterke vervoegingen	st. ww.	συζυγία Α'
We	zwakke vervoegingen	zw. ww.	συζυγία Β'
		φωνή	
Av	actieve vormen		
Pv	lijdende vormen, passieven		
Is	onpersoonlijk passieve wijzen		
first person	κύριο ρήμα		
Vb	hulpwerkwoorden	hww.	βοηθητικό ρήμα
	koppelwerkwoorden		συνδετικό ρήμα
v.gr	werkwoordgroep	werkwoordgroepen	ww. groep
Pp	deelwoorden	dw.	μετοχή
adv	bijwoord	bijwoorden	bijw.
adv.gr	bijwoordgroep	bijwoordgroepen	bijw. groep
	vermenigvuldigingsbijwoorden		πολλαπλασιαστικό επίρρημα
As	aanvoegsels		πρόθεση
prep	voorzetsel	voorzetsels	vz.
	achterzetsels		οπισθοθετικό
	απλή		
conjunction			
conj	voegwoord	voegwoorden	vw.
Co	nevenschikkende voegwoorden	neven.	συμπλεκτικός σύνδεσμος
Sb	onderschikkende voegwoorden	onder.	υποτακτικός σύνδεσμος
	determinatoren	det.	καθοριστικός προσδιοριστής
interr	vraagwoord	vraagwoord	vraagw.
At	lidwoorden	lidw.	άρθρο
Df	bepaalde lidwoorden	bep. lidw.	οριστικό άρθρο
Id	onbepaalde lidwoorden	onbep. lidw.	αόριστο άρθρο
pron	voornaamwoord	voornaamwoorden	vnw.
Ir	vragende voornaamwoorden	vvnw.	ερωτηματική αντωνυμία
Pe	persoonlijke voornaamwoorden	pers. vnw.	προσωπική αντωνυμία
Po	bezittelijke voornaamwoorden	bez. vnw.	κτητική αντωνυμία
Dm	aanwijzende voornaamwoorden	aanw. vnw.	δεικτική αντωνυμία
Re	betrekkelijke voornaamwoorden	betr. vnw.	αναφορική αντωνυμία
Pn	wederkerige voornaamwoorden	wederk. vnw.	αυτοπαθής αντωνυμία
Id	onbepaalde voornaamwoorden	onbep. vnw.	αόριστη αντωνυμία
Ri	onbepaalde betrekkelijke voornaamwoorden	onbep. betr. vnw.	αόριστη αναφορική αντωνυμία
interj	tussenwerpsel	tussenwerpsels	tsw.
ptcl	grammaticaal partikel	grammaticale partikels	part.
PART			
PART			αρνητικό μόριο
PART			μόριο υποτακτικής
morpheme	υπόλοιπα		
morph	morfeem	morfemen	morf.
abbr	afkorting	afkortingen	afk.
			μη διασπώμενη συντομογραφία
ΙΝΙΤ	inititalen		αρχικό
ACRO	acroniemen		αρκτικόλεξο
foreign word	–	–	
Fw	vreemde woorden		ξένη λέξη
	leenwoorden		δάνειο
Tr	transliteraties		μεταγραφή
Sy	symbolen		σύμβολο
DIG	cijfers		ψηφίο
PUNCT	interpunctie		σημείο στίξης
P_TERM_P			τελικό σημείο στίξης
O_PUNCT			σημείο έναρξης
C_PUNCT			σημείο λήξης
ENUM	opsommingen		αρίθμηση
DATE	data, datums		ημερομηνία
Xx	–	–	–
