WikiData QID	parent	ML_ID	label	description	wiktionary
Q101244	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_ACRO	acronym		
Q245423		ML_CUSTOM_COMPOUND	compound	A word or name that combines two or more words without altering them, such as [_dishcloth_](https://en.wiktionary.org/wiki/dishcloth#English) (from [_dish_](https://en.wiktionary.org/wiki/dish#English) and [_cloth_](https://en.wiktionary.org/wiki/cloth#English)) or [_high school_](https://en.wiktionary.org/wiki/high_school#English) (from [_high_](https://en.wiktionary.org/wiki/high#English) and [_school_](https://en.wiktionary.org/wiki/school#English)); the latter type is called an [open compound](https://en.wiktionary.org/wiki/open_compound). Compound terms are indicated in etymologies using {{[compound](https://en.wiktionary.org/wiki/Template:compound#top)}}. (See also [_Wiktionary:Etymology § Compound_](https://en.wiktionary.org/wiki/Wiktionary:Etymology#Compound).)	https://en.wiktionary.org/wiki/compound
Q474628	ML_CUSTOM_INFLEC	ML_CUSTOM_CONJUG	conjugation	The [inflection](#inflection) of [verbs](#verb). See also [_declension_](#declension).	https://en.wiktionary.org/wiki/conjugation
Q205892		ML_CUSTOM_DATUM	date		
Q82990	ML_RHETORIC_SYMBOL	ML_CUSTOM_DIG	digit		
Q2704791		ML_CUSTOM_ENUM	enumeration		
Q207857		ML_MORPH_INFLEC	(grammatical) inflection		
Q261918	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_INIT	init		
	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_N-ABBR	not-breaking abbreviation		
Q134550		ML_CUSTOM_TRANSLIT	transliteration	The conversion of text in one [script](#script) into an equivalent in another [script](#script), or an instance of text so converted (for example, _Ševčenko_ and _Shevchenko_ are transliterations of Ukrainian _Шевченко_ from Cyrillic script to Latin script, according to two different systems). / Transliteration is conducted on a letter-by-letter basis (contrasted with [transcription](https://en.wiktionary.org/wiki/transcription) which is converted on the basis of sounds). This may be extended to the conversion of [diacritical](#diacritic) marks into alternate forms without diacritical marks in the same script (e.g. _Mörder_ → _Moerder_).	https://en.wiktionary.org/wiki/Wiktionary:Transliteration
		ML_CUSTOM_	تَصْحِيف	When a copyist has set wrong points ([ʾiʿjām](https://en.wiktionary.org/wiki/i%27jam)) upon the skeleton ([rasm](https://en.wiktionary.org/wiki/rasm)) of the (Arabic) script.	https://en.wiktionary.org/wiki/%D8%B5%D8%AD%D9%81#Arabic
		ML_CUSTOM_A	a.	[Ante](https://en.wiktionary.org/wiki/ante) (Latin for "before"). Hence, a quotation from "_a._ 1924" is a quotation from no later than the year 1923.	
		ML_MORPH-VALUE_ABLATIVE-CASE	ablative case	A [case](#case) that indicates separation, or moving away from something. It is used alone or with certain [prepositions](#preposition). For example, if English had a fully [productive](#productive) case system that included the ablative case, then in the phrase _came from the city_, either "the city" or "from the city" would likely be in the ablative. In some languages, such as Latin, this case has acquired many other uses and does not strictly indicate separation anymore.	https://en.wiktionary.org/wiki/ablative_case
		ML_POS_ABSTRACT-NOUN	abstract noun	A [noun](#noun) that denotes an idea, emotion, feeling, quality or other abstract or intangible concept, as opposed to a concrete item, or a physical object. [Antonym](#antonym) of [concrete noun](#concrete_noun).	https://en.wiktionary.org/wiki/abstract_noun
		ML_POS_ABSTRACT-VERB	abstract verb	_See [_multidirectional verb_](#multidirectional_verb)._	https://en.wiktionary.org/wiki/abstract_verb
