WikiData QID	parent	ML_ID	label	description	wiktionary
		ML_FIELD_AERONAUTICS	aeronatics		
Q3968		ML_FIELD_ALGEBRA	algebra		
		ML_FIELD_AMBACHTSTERM-TAAL	ambachtsterm, -taal		
Q514		ML_FIELD_ANATOMY	anatomy		
Q12271		ML_FIELD_ARCHITECTURE	architecture		
Q11205		ML_FIELD_ARITHMETIC	arithmetic		
Q333		ML_FIELD_ASTRONOMY	astronomy		
Q1845		ML_FIELD_BIBLE	Bible		
Q420		ML_FIELD_BIOLOGY	biology		
Q441		ML_FIELD_BOTANY	botany		
		ML_FIELD_CHEMISTRY	chemistry		
		ML_FIELD_ECCLESIASTICAL	ecclesiastical		
Q8134		ML_FIELD_ECONOMICS	economics		
Q11023		ML_FIELD_ENGINEERING	engineering		
Q38112		ML_FIELD_FORESTRY	forestry		
Q1071		ML_FIELD_GEOGRAPHY	geography		
Q1069		ML_FIELD_GEOLOGY	geology		
		ML_FIELD_GEOMETRY	geometry		
Q8091		ML_FIELD_GRAMMAR	grammar		
Q2135465		ML_FIELD_LEGAL-TERM-OR-LEGAL-CONCEPT	legal term or legal concept		
Q395		ML_FIELD_MATHEMATICS	mathematics		
		ML_FIELD_MECHANICS	mechanics		
		ML_FIELD_MEDICAL	medical		
		ML_FIELD_MILITARY	military		
		ML_FIELD_MUSICAL	musical		
Q9134		ML_FIELD_MYTHOLOGY	mythology		
		ML_FIELD_NAUTICAL	nautical		
Q5891		ML_FIELD_PHILOSOPHY	philosophy		
Q11633		ML_FIELD_PHOTOGRAPHY	photography		
Q413		ML_FIELD_PHYSICS	physics		
Q521		ML_FIELD_PHYSIOLOGY	physiology		
Q7163		ML_FIELD_POLITICS	politics		
Q9418		ML_FIELD_PSYCHOLOGY	psychology		
Q9174		ML_FIELD_RELIGION	religion		
		ML_FIELD_SCHOOLTAAL	schooltaal		
		ML_FIELD_STAATSKUNDE	staatskunde		
		ML_FIELD_STUDENTENTAAL	studententaal		
Q40821		ML_FIELD_SURGERY	surgery		
Q131420360		ML_FIELD_TENTOONSTELLING-SPORT-EN-SPEL-IN-DE-OUDHEID	Tentoonstelling Sport en spel in de Oudheid		
		ML_FIELD_THEATER-TONEEL-DRAMATURGIE	theater, toneel, dramaturgie		
Q34178		ML_FIELD_THEOLOGY	theology		
Q159964		ML_FIELD_TYPOGRAPHY	typography		
		ML_FIELD_VOLKSTAAL-POPULAIR	volkstaal, populair		
