WikiData QID	parent	ML_ID	label	description	wiktionary
Q34698		ML_POS_ADJECTIVE	adjective	A word like [_big_](https://en.wiktionary.org/wiki/big#English) or [_childish_](https://en.wiktionary.org/wiki/childish#English) that usually serves to modify a [noun](#noun).	https://en.wiktionary.org/wiki/adjective
Q134316		ML_POS_ADP	adposition		
Q103184	ML_POS_DET	ML_POS_ART	(grammatical) article		
Q2865743	ML_POS_ART	ML_POS_ART-DEF	definite article		
Q3813849	ML_POS_ART	ML_POS_ART-IND	indefinite article		
Q28833099	ML_POS_CONJUNCTION	ML_POS_CONJ-COORD	coordinative conjunction		
Q11655558	ML_POS_CONJUNCTION	ML_POS_CONJ-SUB	subordinative conjunction		
Q36484		ML_POS_CONJUNCTION	conjunction	A word used to join other words or phrases together into sentences.	https://en.wiktionary.org/wiki/conjunction
Q34793275	ML_POS_PRONOUN	ML_POS_DEMONSTRATIVE-PRONOUN	demonstrative pronoun		
Q1306636	ML_POS_DET	ML_POS_DETERMINER	determiner	A noun modifier that expresses the in-context reference or quantity of a noun or noun phrase. Determiners are often considered adjectives, but in fact are not quite the same; for example, in English, [_big_](https://en.wiktionary.org/wiki/big#English) is an adjective, so “the big car” is grammatical while *“He saw big car” is not, but [_some_](https://en.wiktionary.org/wiki/some#English) is a determiner, so *“the some car” is not grammatical while “He saw some car” is. In English, adjectives can _sometimes_ stand alone without a noun, while determiners nearly _always_ can (contrast *“He saw big” with “He saw some”), such that they are sometimes considered pronouns as well as adjectives.	https://en.wiktionary.org/wiki/determiner
Q83034		ML_POS_INTERJ	interjection	An expression of emotion ("ouch!", "wow!") or any of several kinds of expression that functions as a replacement of a sentence ([prosentence](https://en.wiktionary.org/wiki/prosentence)) or that are not syntactically connected to a sentence, including curses ("damn!"), greetings ("hey", "bye"), response particles ("okay", "oh!", "m-hm", "huh?"), and hesitation markers ("uh", "er", "um"), and perhaps profanities, discourse markers and fillers.	https://en.wiktionary.org/wiki/interjection
Q1401131	ML_POS_NOUN	ML_POS_NOUN	noun	A word that refers to a person (such as an [_actress_](https://en.wiktionary.org/wiki/actress#English)), a place, a physical thing (such as [_wood_](https://en.wiktionary.org/wiki/wood#English)), or concept (such as [_beauty_](https://en.wiktionary.org/wiki/beauty#English), [_joy_](https://en.wiktionary.org/wiki/joy#English), or [_time_](https://en.wiktionary.org/wiki/time#English)). See also [countable](#countable), [uncountable](#uncountable) and [plural](#plural).	https://en.wiktionary.org/wiki/noun
Q147101	ML_POS_NOUN	ML_POS_NOUN-COMMON	common noun		
Q55951821	ML_POS_NUMERAL	ML_POS_NUMERAL-ADJECTIVAL	adjectival numeral, numeral adjective		
