term	definition	term_links	wikidata_qid
accumulatio	The emphasis or summary of previously made points or inferences by excessive praise or accusation.	https://en.wiktionary.org/wiki/accumulatio	
acutezza	Wit or wordplay used in rhetoric.	https://en.wiktionary.org/wiki/acutezza	
adjunction	When a verb is placed at the beginning or the end of a sentence instead of in the middle. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "At the beginning, as follows: 'Fades physical beauty with disease or age.' At the end, as follows: 'Either with disease or age physical beauty fades.'"	https://en.wiktionary.org/wiki/adjunction	
aesthetics	The examination of symbolic expression to determine its rhetorical possibilities.	https://en.wiktionary.org/wiki/aesthetics	
aetiologia	Giving a cause or a reason.	https://en.wiktionary.org/wiki/aetiologia	
affectus	A term used by the Italian Humanists of the Renaissance to describe the source of emotions or passions in the human mind.	https://en.wiktionary.org/wiki/affectus	
alloiosis	Interchange of characteristics.	https://en.wiktionary.org/wiki/alloiosis	
alloisis	The breaking down of a subject into its alternatives.	https://en.wiktionary.org/wiki/alloisis	
ambigua	An ambiguous statement used in making puns.	https://en.wiktionary.org/wiki/ambigua	
amplificatio	An all-purpose term for all the ways an argument can be expanded and enhanced.	https://en.wiktionary.org/wiki/amplificatio	
amplification	The act and the means of extending thoughts or statements to increase rhetorical effect, to add importance, or to make the most of a thought or circumstance.	https://en.wiktionary.org/wiki/amplification	
anacoenosis	A speaker asks their audience or opponents for their opinion or answer to the point in question.	https://en.wiktionary.org/wiki/anacoenosis	
anacoluthon	An abrupt change of syntax within a sentence. (What I want is — like anybody cares.)	https://en.wiktionary.org/wiki/anacoluthon	
anadiplosis	Repeating the last word of one clause or phrase to begin the next.	https://en.wiktionary.org/wiki/anadiplosis	
analogy	The use of a similar or parallel case or example to reason or argue a point.	https://en.wiktionary.org/wiki/analogy	
anaphora	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ᾰ̓νᾰφορᾱ́_](https://en.wiktionary.org/wiki/%E1%BC%80%CE%BD%CE%B1%CF%86%CE%BF%CF%81%CE%AC#Ancient_Greek) (ănăphorā́). A succession of sentences beginning with the same word or group of words.	https://en.wiktionary.org/wiki/anaphora	
anapodoton	Implying an omitted main clause by a subordinate clause. (If you only knew **...**)	https://en.wiktionary.org/wiki/anapodoton	
anecdote	A brief narrative describing an interesting or amusing event.	https://en.wiktionary.org/wiki/anecdote	
animorum motus	The emotions.	https://en.wiktionary.org/wiki/animorum_motus	
