term	definition	term_links	wikidata_qid
abissio		Q112154	Q112154
abusio		Q582726	Q582726
accismus		Q4672645	Q4672645
acconsonantie		Q191092	Q191092
accumulatio		Q339718	Q339718
acryologie		Q2731985	Q2731985
adjectio			
adnominatio			
adynaton			
allegorie			
alliteratie		Q484495	Q484495
allusie			
als-vergelijking			
ambiguïteit			
amplificatie			
anaclasis		Q4064723	Q4064723
anadiplosis			
anafoor			
anakoloet			
anamnesis			
anastrofe		Q582293	Q582293
anatopisme			
animalisering			
annominatio			
antanaclasis		Q2463842	Q2463842
anticipatie			
anticlimax			
antifrase		Q253147	Q253147
antimetabool			
antistasis			
antithese			
antonomasie			
apocope		Q112154	Q112154
apokoinou		Q618865	Q618865
aporie			
aposiopese			
apostrof			
appositie			
archaïsme			
assonantie		Q191092	Q191092
asteïsme		Q2868641	Q2868641
asyndetische vergelijking			
asyndeton			
auxesis			
bathos			
battologie			
beeldspraak			
allegorie			
animalisering			
homerische vergelijking		Q2180696	Q2180696
metafoor			
metonymie			
personificatie			
synesthesie			
vegetalisering		Q136375137	Q136375137
vergelijking			
bijstelling			
bombast			
boutade			
brachylogie		Q640423	Q640423
brevitas			
calembour			
captatio benevolentiae		Q1035164	Q1035164
catachrese		Q582726	Q582726
chiasme			
cliché			
climax			
clou		Q671054	Q671054
comparatio			
complexio			
concessio			
concetto			
contaminatie		Q287903	Q287903
contractie			
constructio ad sensum			
contradictio in adjecto			
contradictio in terminis			
correctio			
cynisme		Q245781	Q245781
deinosis			
descriptio			
diacope			
diafoor			
diëresis			
digressio		Q2383053	Q2383053
distinctio			
dooddoener			
dubitatio			
dysfemisme		Q844782	Q844782
effictio			
ekfonesis			
ekfrasis		Q1323450	Q1323450
elisie			
ellips			
emfase		Q65044042	Q65044042
enallage			
enantiosis			
energia			
enclise			
enumeratie			
epanadiplosis		Q1346372	Q1346372
epanafoor			
epanalepsis			
epanodos			
epanorthosis			
epenthesis			
epiclasis			
epifoor		Q963102	Q963102
epifrase			
epistrofe			
epitrope			
epitheton (ornans)			
epizeuxis			
eufemisme		Q83464	Q83464
exclamatio			
excursio			
flashback			
flashforward			
figura etymologica			
figuurlijke betekenis			
gedachtenrijm		Q106504966	Q106504966
gemeenplaats			
geminatio			
gnome			
hendiadys		Q1456360	Q1456360
herhaling			
homerische vergelijking		Q2180696	Q2180696
homoioteleuton			
hypallage			
hyperbaton			
hyperbool			
hysteron proteron			
hystherologie			
hypallage			
in medias res			
incantatie		Q1999796	Q1999796
inversie			
invocatio			
inquit-formule			
ironie			
isocolon			
iteratio			
kenning		Q952912	Q952912
klanknabootsing			
kruisstelling			
kyklos			
litotes			
malapropisme			
meiose		Q3278958	Q3278958
mesodiplosis			
metafoor			
metalepsis			
metonymie			
occupatio			
omkering			
omschrijving			
onomatopee			
opeenstapeling			
opsomming			
optatie			
overdrijving			
oxymoron		Q169429	Q169429
palilogie			
parabool			
paradox		Q3410189	Q3410189
parafrase			
paragoge			
paraleipsis		Q1376885	Q1376885
parallellisme			
parenthese			
paronomasie			
pars pro toto			
pauzerijm			
percontatio		Q2743112	Q2743112
perifrase			
permissio			
personificatie			
pleonasme			
ploke			
pointe		Q671054	Q671054
polyptoton			
polysyndeton			
praemunitio			
praeteritio		Q1376885	Q1376885
pregnantie			
preteritio		Q1376885	Q1376885
proclise		Q2412848	Q2412848
prolepsis			
proteron hysteron			
prothysteron			
refutatio			
repetitio			
reticentie			
retorische vraag			
rijm			
sarcasme			
sermocinatio		Q13409844	Q13409844
sneeuwkloon			
spoonerisme			
stafrijm		Q484495	Q484495
syllepsis			
symploke			
synalephe			
syncope			
synecdoche		Q190068	Q190068
synesthesie			
tautologie			
tmesis			
toespeling			
topos		Q15177520	Q15177520
tricolon			
troop			
understatement			
variatio		Q2510771	Q2510771
vegetalisering		Q136375137	Q136375137
vergelijking			
vooropplaatsing			
vulgarisme			
woordherhaling			
zedenspreuk			
zelfcorrectie			
zeugma			
zinspeling			
