term	definition	term_links
Abréviation	Un mot raccourci que l’on prononce comme le mot originel, par exemple [_M._](https://fr.wiktionary.org/wiki/M.#fr) ; souvent écrit à l’aide d’un point.	https://fr.wiktionary.org/wiki/abréviation
Ablatif	Déclinaison d’un nom quand il suit certaines [prépositions](#P), par exemple, le latin [_in vino veritas_](https://fr.wiktionary.org/wiki/in_vino_veritas) (« vérité **dans le vin** »).	https://fr.wiktionary.org/wiki/ablatif
Absolument	Sans complément, en parlant d’un mot auquel il est plus habituel d’en donner un, ou qui est susceptible d’en avoir un.	https://fr.wiktionary.org/wiki/absolument
Abus de langage	Extension du sens d’un mot qui perd son lien avec le sens original. Pour rester neutre, ce jugement de l’usage doit être attribué à des références linguistiques, sans être pris à son compte par le Wiktionnaire.	https://fr.wiktionary.org/wiki/abus_de_langage
Accent	[Accent](https://fr.wiktionary.org/wiki/accent) → voir [diacritique](#diacritique).	https://fr.wiktionary.org/wiki/accent
Accusatif	Déclinaison d’un nom qui indique le complément d’objet direct du verbe. Par exemple, le latin [_canis canem edit_](https://fr.wiktionary.org/wiki/canis_canem_edit) (« le chien mange **le chien** »). En outre, l’accusatif est réclamé par certaines prépositions, par exemple, le latin [_per_](https://fr.wiktionary.org/wiki/per#la) : _per fenestram exeo_ (« je sors par **la fenêtre** »). Également nommé [cas régime](https://fr.wiktionary.org/wiki/cas_régime).	https://fr.wiktionary.org/wiki/accusatif
Acronyme	[Sigle](#S) que l’on peut prononcer comme un mot ordinaire, tels qu’[_OTAN_](https://fr.wiktionary.org/wiki/OTAN) ou [_OVNI_](https://fr.wiktionary.org/wiki/OVNI).	https://fr.wiktionary.org/wiki/acronyme
Adjectif	Mot qui sert à décrire un nom ; en français : _une maison rouge_.	https://fr.wiktionary.org/wiki/adjectif
Adverbe	Mot qui sert à décrire, à qualifier un verbe ou un adjectif ; en français : _il joue rapidement_.	https://fr.wiktionary.org/wiki/adverbe
Alphabet	[Alphabet](https://fr.wiktionary.org/wiki/alphabet) [phonétique](https://fr.wiktionary.org/wiki/phonétique) [international](https://fr.wiktionary.org/wiki/international) (API) : système de notation conçu pour transcrire scripturalement la prononciation des énoncés.	https://fr.wiktionary.org/wiki/alphabet
Anagramme	Mot ou phrase formé des lettres d’un autre mot ou phrase (abstraction faite des diacritiques). En français, [_chien_](https://fr.wiktionary.org/wiki/chien) et [_niche_](https://fr.wiktionary.org/wiki/niche) sont des anagrammes.	https://fr.wiktionary.org/wiki/anagramme
analogie	Par [analogie](https://fr.wiktionary.org/wiki/analogie) → voir [par analogie](#par_analogie).	https://fr.wiktionary.org/wiki/analogie
Anaphore	Mot ou syntagme qui, dans un énoncé, assure une reprise sémantique d’un précédent segment appelé antécédent.	https://fr.wiktionary.org/wiki/anaphore
Anglicisme	Mot ou sens d’un mot provenant de l’anglais.	https://fr.wiktionary.org/wiki/anglicisme
Antonyme	Mot de sens opposé.	https://fr.wiktionary.org/wiki/antonyme
Aphérèse	Suppression d’un ou plusieurs phonèmes au début d’un mot. En français, dans l’argot militaire [_pitaine_](https://fr.wiktionary.org/wiki/pitaine) est l’aphérèse de [_capitaine_](https://fr.wiktionary.org/wiki/capitaine).	https://fr.wiktionary.org/wiki/aphérèse
Apocope	Chute de la partie finale d’un mot. En français, [_ciné_](https://fr.wiktionary.org/wiki/ciné) est une apocope de [_cinéma_](https://fr.wiktionary.org/wiki/cinéma), celui-ci une apocope de [_cinématographe_](https://fr.wiktionary.org/wiki/cinématographe).	https://fr.wiktionary.org/wiki/apocope
Apparenté	Mot d’une autre langue avec les mêmes racines et un sens similaire. Par exemple, [_joust_](https://fr.wiktionary.org/wiki/joust) en anglais et [_joute_](https://fr.wiktionary.org/wiki/joute) en français.	https://fr.wiktionary.org/wiki/apparenté
Archaïsme	Qualifie un mot ancien qui n’est plus d’usage à la suite d'un changement des règles de la langue (par exemple les terminaisons en _-ois_ du français remplacées par _-ais_) ou à la disparition du référent qu’il désigne. Ne pas confondre avec [_désuet_](#D) et [_vieilli_](#V).	https://fr.wiktionary.org/wiki/archaïsme
Argot	[Argot](https://fr.wiktionary.org/wiki/argot), [argotique](https://fr.wiktionary.org/wiki/argotique) : Vocabulaire du [registre argotique](https://fr.wiktionary.org/wiki/registre_argotique).	https://fr.wiktionary.org/wiki/argot
Attestation	Apparition confirmée dans un corpus.	https://fr.wiktionary.org/wiki/attestation
Augmentatif	qui augmente.	https://fr.wiktionary.org/wiki/augmentatif
Auxiliaire	[Verbe](#V) qui aide à conjuguer un autre verbe aux temps dits composés. En français, [_être_](https://fr.wiktionary.org/wiki/être), [_aller_](https://fr.wiktionary.org/wiki/aller) (sert à former le [futur](#F)) et [_avoir_](https://fr.wiktionary.org/wiki/avoir) (sert à former le [passé composé](#P)) entre autres.	https://fr.wiktionary.org/wiki/auxiliaire
Barbarisme	Faute de langage qui enfreint les règles de la morphologie. Pour rester neutre, ce jugement de l’usage doit être attribué à des références linguistiques, sans être pris à son compte par le Wiktionnaire.	https://fr.wiktionary.org/wiki/barbarisme
Bitransitif	Se dit d’un verbe nécessitant deux compléments d’objets (la plupart du temps un [complément d’objet direct](https://fr.wiktionary.org/wiki/complément_d’objet_direct) et un [complément d’objet indirect](https://fr.wiktionary.org/wiki/complément_d’objet_indirect)).	https://fr.wiktionary.org/wiki/bitransitif
Calque	Calque structural : Traduction mot-à-mot d’une locution venant d’une autre langue. En français, [_mot-valise_](https://fr.wiktionary.org/wiki/mot-valise) est la traduction littérale du mot anglais [_portmanteau word_](https://fr.wiktionary.org/wiki/portmanteau_word). Calque sémantique : Sens nouveau donné à un mot d’une langue donnée par influence d’une autre langue. En français, [_opportunité_](https://fr.wiktionary.org/wiki/opportunité) au sens d’« occasion, condition favorable » est un calque de l’anglais [_opportunity_](https://fr.wiktionary.org/wiki/opportunity).	https://fr.wiktionary.org/wiki/calque
