term	definition	term_links
aférese	Braquissemia a partir da eliminação dos fonemas iniciais. Um exemplo é [senhor](https://pt.wiktionary.org/wiki/senhor) > [nhô](https://pt.wiktionary.org/wiki/nhô).	https://pt.wiktionary.org/wiki/aférese
apócope	Braquissemia a partir da eliminação dos fonemas finais. Um exemplo é [fotografia](https://pt.wiktionary.org/wiki/fotografia) > [foto](https://pt.wiktionary.org/wiki/foto).	https://pt.wiktionary.org/wiki/apócope
bisesdrúxula	(prosódia) Palavra que é tonicamente acentuada na sílaba anterior à antepenúltima. Na língua portuguesa, só ocorre em certos verbos com mesóclise ou ênclise. Um exemplo é contravínhamo-nos.	https://pt.wiktionary.org/wiki/bisesdrúxula
braquissemia	Redução de uma palavra.	https://pt.wiktionary.org/wiki/braquissemia
consoante	(fonética) Fonema produzido com alguma obstrução na passagem do ar.	https://pt.wiktionary.org/wiki/consoante
cultismo	(etimologia) Empréstimo linguístico por via erudita (escrita). Característica fundamental do cultismo é a não adaptação plena da palavra à realidade linguística do idioma de destino, preservando aspectos do idioma original. Por exemplo, [símplex](https://pt.wiktionary.org/wiki/símplex) é um cultismo, sendo emprestado praticamente sem alterações do latim; [símplice](https://pt.wiktionary.org/wiki/símplice) é um [semicultismo](#S), havendo adaptações fonéticas, e, por fim, [simples](https://pt.wiktionary.org/wiki/simples).	https://pt.wiktionary.org/wiki/cultismo
derivação equivocada	(etimologia) Criação de uma palavra a partir de elementos alheios à língua dentro de um paradigma de afixação já existente. Um exemplo é [gamificação](https://pt.wiktionary.org/wiki/gamificação), a partir do inglês [_game_](https://pt.wiktionary.org/wiki/game) “jogo”.	https://pt.wiktionary.org/wiki/derivação_equivocada?action=edit&redlink=1
derivação imprópria	(etimologia) Transformação na categoria gramatical de uma palavra sem qualquer modificação em sua forma. Exemplos são Jesus (substantivo) > jesus! (interjeição); poder (verbo) > o poder, os poderes (substantivo).	https://pt.wiktionary.org/wiki/derivação_imprópria
derivação parassintética	(etimologia) Criação de uma palavra em que se verifica tanto prefixação quanto sufixação. Um exemplo é [enlouquecer](https://pt.wiktionary.org/wiki/enlouquecer) < [en-](https://pt.wiktionary.org/wiki/en-) + [louco](https://pt.wiktionary.org/wiki/louco) + [-ecer](https://pt.wiktionary.org/wiki/-ecer).	https://pt.wiktionary.org/wiki/derivação_parassintética
derivação própria	(etimologia) Criação de uma palavra que envolve a adição de afixo derivacional a uma raiz. Um exemplo é [infeliz](https://pt.wiktionary.org/wiki/infeliz) < [feliz](https://pt.wiktionary.org/wiki/feliz).	https://pt.wiktionary.org/wiki/derivação_própria?action=edit&redlink=1
derivação regressiva	(etimologia) Criação de uma palavra a partir da “regressão” de outra, muitas vezes pela eliminação de sufixos. Um exemplo é [gajão](https://pt.wiktionary.org/wiki/gajão) > [gajo](https://pt.wiktionary.org/wiki/gajo).	https://pt.wiktionary.org/wiki/derivação_regressiva
esdrúxula	(prosódia) Mesmo que [proparoxítona](#P).	https://pt.wiktionary.org/wiki/esdrúxula
estrangeirismo	Palavra, locução etc. que é emprestada de um idioma a outro.	https://pt.wiktionary.org/wiki/estrangeirismo
étimo	(etimologia) Palavra que deu origem a outra.	https://pt.wiktionary.org/wiki/étimo
fonema	(fonética) unidade fonética mínima que permite distinguir palavras (por exemplo, [área](https://pt.wiktionary.org/wiki/área) e [ária](https://pt.wiktionary.org/wiki/ária)).	https://pt.wiktionary.org/wiki/fonema
fortição	(fonética) Intensificação de uma consoante. Um exemplo é a transformação da consoante aproximante _w_ no germânico _*wardon_ > português [guardar](https://pt.wiktionary.org/wiki/guardar). O oposto de [lenição](#L).	https://pt.wiktionary.org/wiki/fortição
lenição	(fonética) Suavização de uma consoante. Um exemplo é a sonorização da consonante _c_ no latim [_amicus_](https://pt.wiktionary.org/wiki/amicus) > português [amigo](https://pt.wiktionary.org/wiki/amigo). O oposto de [fortição](#F).	https://pt.wiktionary.org/wiki/lenição
língua artificial	Língua desenvolvida artificialmente por uma ou mais pessoas para suprir uma necessidade de uso específica.	https://pt.wiktionary.org/wiki/língua_artificial?action=edit&redlink=1
língua extinta	Língua que não sobreviveu ao tempo e que é inteiramente desconhecida por não ter deixado evidências ou documentos suficientes.	https://pt.wiktionary.org/wiki/língua_extinta?action=edit&redlink=1
língua franca	Língua adotada entre falantes cujas línguas nativas são incompatíveis.	https://pt.wiktionary.org/wiki/língua_franca?action=edit&redlink=1
língua morta	Língua que não está mais em uso ativo e que sobrevive somente através de documentos.	https://pt.wiktionary.org/wiki/língua_morta
língua natural	Língua desenvolvida naturalmente por pessoas consoante suas necessidades de comunicação.	https://pt.wiktionary.org/wiki/língua_natural?action=edit&redlink=1
oxítona	(prosódia) Palavra que é tonicamente acentuada na última sílaba. Um exemplo é [Esaú](https://pt.wiktionary.org/wiki/Esaú).	https://pt.wiktionary.org/wiki/oxítona
paroxítona	(prosódia) Palavra que é tonicamente acentuada na penúltima sílaba. Um exemplo é o espanhol [_ustedes_](https://pt.wiktionary.org/wiki/ustedes).	https://pt.wiktionary.org/wiki/paroxítona
proparoxítona	(prosódia) Palavra que é tonicamente acentuada na antepenúltima sílaba. Um exemplo é [álamo](https://pt.wiktionary.org/wiki/álamo). Mesmo que [esdrúxula](#E).	https://pt.wiktionary.org/wiki/proparoxítona
proparoxítona aparente	(prosódia) Na língua portuguesa, palavra que termina em ditongo átono (-ao, -io, -eo etc.) e que pode ser pronunciada como se fosse paroxítona ou como se fosse proparoxítona. Um exemplo é a palavra [série](https://pt.wiktionary.org/wiki/série), que poderia ser silabada como _sé-ri-e_ ou como _sé-rie_.	https://pt.wiktionary.org/wiki/proparoxítona_aparente
semicultismo	(etimologia) Empréstimo linguístico por via erudita que passou por certas adaptações fonéticas ao se popularizar. Confira [cultismo](#C).	https://pt.wiktionary.org/wiki/semicultismo?action=edit&redlink=1
semivogal	(fonética) Fonema que é expressado com maior abertura do canal bucal que as vogais e menor que as consoantes, e que sempre ocorre nas fronteiras das sílabas, e não no meio delas.	https://pt.wiktionary.org/wiki/semivogal
síncope	Braquissemia a partir da eliminação dos fonemas do meio. Um exemplo é [vossa mercê](https://pt.wiktionary.org/wiki/vossa_mercê) > [vosmecê](https://pt.wiktionary.org/wiki/vosmecê) > [você](https://pt.wiktionary.org/wiki/você).	https://pt.wiktionary.org/wiki/síncope
vogal	(fonética) Fonema produzido sem qualquer obstrução na passagem do ar.	https://pt.wiktionary.org/wiki/vogal
